"date","Time","Temp.","Windchill","Dew Point","Pressure","Wind","Wind Speed","Wind Gust","Humidity","Rainfall Rate (Hourly)"
"2011/1/1","00:07","2.8","-","2.2","1013.4","Calm","","0.0","96","-"
"2011/1/1","00:16","2.8","-","2.2","1013.4","Calm","","0.0","96","-"
"2011/1/1","00:40","2.8","-","2.2","1013.4","Calm","","0.0","97","-"
"2011/1/1","00:44","2.8","-","2.2","1013.4","Calm","","0.0","97","-"
"2011/1/1","00:58","2.8","-","2.2","1013.1","Calm","","4.8","98","-"
"2011/1/1","01:04","2.8","-","2.2","1013.1","Calm","","4.8","98","-"
"2011/1/1","01:16","2.8","-","2.2","1013.1","Calm","","3.2","98","-"
"2011/1/1","01:26","2.8","-","2.2","1013.1","Calm","","1.6","98","-"
"2011/1/1","01:40","2.8","-","2.2","1013.1","Calm","","3.2","98","-"
"2011/1/1","01:43","2.8","-","2.8","1013.1","Calm","","4.8","99","-"
"2011/1/1","01:56","2.8","-","2.8","1013.1","Calm","","4.8","99","-"
"2011/1/1","02:03","2.8","-","2.8","1013.1","Calm","","4.8","99","-"
"2011/1/1","02:18","2.8","-","2.8","1013.1","Calm","","3.2","99","-"
"2011/1/1","02:28","2.8","-","2.8","1013.1","South","3.2","6.4","99","-"
"2011/1/1","02:40","2.8","0.1","2.8","1013.1","SW","9.7","9.7","99","-"
"2011/1/1","03:00","2.8","-","2.8","1013.4","Calm","","4.8","100","-"
"2011/1/1","03:04","2.8","-","2.8","1013.4","Calm","","4.8","100","-"
"2011/1/1","03:21","2.8","-","2.8","1013.4","Calm","","8.0","99","-"
"2011/1/1","03:43","2.8","-","2.8","1013.4","WSW","1.6","6.4","100","-"
"2011/1/1","03:45","2.8","-","2.8","1013.4","SSW","1.6","8.0","100","-"
"2011/1/1","03:58","2.8","-","2.8","1013.4","Calm","","6.4","100","-"
"2011/1/1","04:04","2.8","-","2.8","1013.4","SW","1.6","6.4","100","-"
"2011/1/1","04:19","2.8","-","2.8","1013.4","SW","1.6","6.4","100","-"
"2011/1/1","04:32","2.8","-","2.8","1013.8","SSW","3.2","6.4","100","-"
"2011/1/1","04:41","2.8","-","2.8","1014.1","SW","1.6","4.8","100","-"
"2011/1/1","04:58","2.8","-","2.8","1014.1","SW","1.6","1.6","100","-"
"2011/1/1","05:03","2.8","-","2.8","1014.1","Calm","","1.6","100","-"
"2011/1/1","05:19","2.8","-","2.8","1013.8","Calm","","0.0","100","-"
"2011/1/1","05:36","2.8","-","2.8","1013.8","Calm","","0.0","100","-"
"2011/1/1","05:42","2.8","-","2.8","1013.8","Calm","","0.0","100","-"
"2011/1/1","05:44","2.8","-","2.8","1013.8","Calm","","3.2","100","-"
"2011/1/1","05:59","2.8","-","2.8","1014.1","Calm","","1.6","100","-"
"2011/1/1","06:04","2.8","-","2.8","1013.8","Calm","","0.0","100","-"
"2011/1/1","06:19","2.8","-","2.8","1013.8","Calm","","0.0","100","-"
"2011/1/1","06:36","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","06:41","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","06:59","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","07:03","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","07:18","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","07:30","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","07:42","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","07:44","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","07:59","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","08:17","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","08:35","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","08:41","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","08:44","2.8","-","2.8","1014.1","Calm","","4.8","100","-"
"2011/1/1","08:59","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","09:03","2.8","-","2.8","1014.1","Calm","","0.0","100","-"
"2011/1/1","09:42","2.8","-","2.8","1014.4","Calm","","0.0","100","-"
"2011/1/1","09:44","2.8","-","2.8","1014.4","Calm","","3.2","100","-"
"2011/1/1","09:58","3.3","-","3.3","1014.8","Calm","","0.0","100","-"
"2011/1/1","10:04","3.3","-","3.3","1014.8","Calm","","0.0","100","-"
"2011/1/1","10:18","3.3","-","3.3","1015.1","Calm","","0.0","100","-"
"2011/1/1","10:34","3.3","-","3.3","1015.1","Calm","","0.0","100","-"
"2011/1/1","10:42","3.3","-","3.3","1015.1","Calm","","0.0","100","-"
"2011/1/1","10:59","3.3","-","3.3","1015.1","Calm","","0.0","100","-"
"2011/1/1","11:03","3.3","-","3.3","1015.1","Calm","","0.0","100","-"
"2011/1/1","11:19","3.3","-","3.3","1015.1","Calm","","0.0","100","-"
"2011/1/1","11:33","3.3","-","3.3","1014.8","Calm","","1.6","100","-"
"2011/1/1","11:42","3.3","-","3.3","1014.4","SSW","3.2","3.2","100","-"
"2011/1/1","11:45","3.3","-","3.3","1014.4","Calm","","3.2","100","-"
"2011/1/1","11:59","3.3","-","3.3","1013.8","East","3.2","4.8","100","-"
"2011/1/1","12:16","3.3","-","3.3","1013.8","Calm","","3.2","100","-"
"2011/1/1","12:26","3.3","-","3.3","1013.8","Calm","","0.0","100","-"
"2011/1/1","12:40","3.3","-","3.3","1013.4","East","3.2","3.2","100","-"
"2011/1/1","12:43","3.3","-","3.3","1013.4","Calm","","0.0","100","-"
"2011/1/1","12:55","2.8","-","2.8","1012.8","East","1.6","4.8","100","-"
"2011/1/1","13:03","2.8","-","2.8","1012.8","Calm","","4.8","100","-"
"2011/1/1","13:19","2.8","-","2.8","1012.4","ENE","1.6","4.8","100","-"
"2011/1/1","13:26","2.8","-","2.8","1012.4","ENE","1.6","4.8","100","-"
"2011/1/1","13:40","2.8","-","2.8","1012.4","NNE","3.2","4.8","100","-"
"2011/1/1","13:43","2.8","-","2.8","1012.1","Calm","","4.8","100","-"
"2011/1/1","13:57","2.8","-","2.8","1012.1","Calm","","4.8","100","-"
"2011/1/1","14:03","2.8","-","2.8","1012.1","Calm","","4.8","100","-"
"2011/1/1","14:17","2.8","-","2.8","1012.1","Calm","","1.6","100","-"
"2011/1/1","14:24","2.8","-","2.8","1011.7","NE","1.6","3.2","100","-"
"2011/1/1","14:40","2.8","-","2.8","1011.7","NE","1.6","3.2","100","-"
"2011/1/1","14:58","2.8","-","2.8","1011.1","Calm","","6.4","100","-"
"2011/1/1","15:03","2.8","-","2.8","1011.1","NNE","3.2","3.2","100","-"
"2011/1/1","15:16","2.8","-","2.8","1011.1","NNE","3.2","3.2","100","-"
"2011/1/1","15:26","2.2","-","2.2","1011.1","NNE","1.6","6.4","100","-"
"2011/1/1","15:39","2.2","-","2.2","1010.7","Calm","","6.4","100","-"
"2011/1/1","15:59","2.2","-","2.2","1010.7","Calm","","3.2","100","-"
"2011/1/1","16:19","2.2","-","2.2","1010.4","NNE","3.2","6.4","100","-"
"2011/1/1","16:27","2.2","-","2.2","1010.4","NNE","3.2","6.4","100","-"
"2011/1/1","16:40","2.2","-","2.2","1010.4","NNE","4.8","4.8","100","-"
"2011/1/1","16:44","2.2","-","2.2","1010.4","Calm","","4.8","100","-"
"2011/1/1","17:00","2.2","0.4","2.2","1010.0","NE","6.4","6.4","100","-"
"2011/1/1","17:04","2.2","0.4","2.2","1010.0","NE","6.4","6.4","100","-"
"2011/1/1","17:17","2.2","-","2.2","1010.0","East","3.2","9.7","100","-"
"2011/1/1","17:31","2.2","-","2.2","1009.4","Calm","","8.0","100","-"
"2011/1/1","17:41","2.2","-","2.2","1009.4","ESE","3.2","4.8","100","-"
"2011/1/1","17:43","2.2","-","2.2","1009.4","ESE","1.6","4.8","100","-"
"2011/1/1","17:56","2.2","-","2.2","1008.7","Calm","","4.8","100","-"
"2011/1/1","18:03","2.2","-","2.2","1008.7","Calm","","4.8","100","-"
"2011/1/1","18:17","2.8","-","2.8","1008.7","Calm","","4.8","100","-"
"2011/1/1","18:33","2.8","-","2.8","1008.7","ENE","3.2","3.2","100","-"
"2011/1/1","18:41","2.8","-","2.8","1008.7","NW","1.6","6.4","100","-"
"2011/1/1","18:44","2.2","-","2.2","1008.4","Calm","","3.2","100","-"
"2011/1/1","18:54","2.2","-","2.2","1008.4","North","1.6","4.8","100","-"
"2011/1/1","19:03","2.8","-","2.8","1008.4","North","1.6","4.8","100","-"
"2011/1/1","19:16","2.8","-","2.8","1008.4","Calm","","3.2","100","-"
"2011/1/1","19:23","2.8","-","2.8","1008.4","Calm","","3.2","100","-"
"2011/1/1","19:39","2.8","-","2.8","1008.4","Calm","","4.8","100","-"
"2011/1/1","19:58","2.8","-","2.8","1008.4","Calm","","0.0","100","-"
"2011/1/1","20:03","2.8","-","2.8","1007.7","Calm","","4.8","100","-"
"2011/1/1","20:17","2.2","-","2.2","1007.7","SE","3.2","4.8","100","-"
"2011/1/1","20:22","2.2","-","2.2","1007.7","SE","3.2","4.8","100","-"
"2011/1/1","20:38","2.2","-","2.2","1007.7","SE","3.2","4.8","100","-"
"2011/1/1","20:53","2.8","-","2.8","1007.3","Calm","","3.2","100","-"
"2011/1/1","21:03","2.8","-","2.8","1007.3","Calm","","3.2","100","-"
"2011/1/1","21:17","2.8","-","2.8","1007.3","Calm","","1.6","100","-"
"2011/1/1","21:41","2.8","-","2.8","1007.3","Calm","","1.6","100","-"
"2011/1/1","21:43","2.2","-","2.2","1007.3","Calm","","0.0","100","-"
"2011/1/1","21:58","2.2","-","2.2","1007.3","Calm","","0.0","100","-"
"2011/1/1","22:03","2.8","-","2.8","1007.3","Calm","","0.0","100","-"
"2011/1/1","22:17","2.8","-","2.8","1007.0","Calm","","0.0","100","-"
"2011/1/1","22:41","2.8","-","2.8","1006.7","Calm","","0.0","100","-"
"2011/1/1","22:44","2.8","-","2.8","1007.3","ENE","1.6","1.6","100","-"
"2011/1/1","22:58","2.8","-","2.8","1007.3","ENE","1.6","1.6","100","-"
"2011/1/1","23:14","-","-","-73.3","1007.0","Calm","","-","-","-"
"2011/1/1","23:39","2.8","-","2.8","1006.7","Calm","","0.0","100","-"
"2011/1/1","23:43","2.8","-","2.8","1006.7","Calm","","0.0","100","-"
"2011/1/1","23:51","2.8","-","2.8","1007.0","Calm","","0.0","100","-"
