"date","Time(EST)","Temp.","Windchill","Dew Point","Humidity","Pressure","Visibility","Wind Dir","Wind Speed","Gust Speed","Precip","Events","Conditions"
"2011/1/1","12:00 AM","4.1","2.9","2.8","91","1015.8","-","SSW","5.6/1.5m/s","-","1.3","","Unknown"
"2011/1/1","1:00 AM","4","-","3","95","1016","-","SSW","5.6/","-","-","",""
"2011/1/1","1:00 AM","4.1","2.9","3.4","95","1015.5","-","SSW","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","2:00 AM","3.7","2.4","3.1","96","1015.7","-","SW","5.6/1.5m/s","-","1.0","","Unknown"
"2011/1/1","3:00 AM","3.9","2.0","3.4","97","1015.8","-","SSW","7.4/2.1m/s","-","N/A","","Unknown"
"2011/1/1","4:00 AM","4.4","3.2","3.8","96","1016.3","-","SSW","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","5:00 AM","6.4","5.5","5.8","96","1016.3","-","SW","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","6:00 AM","6.5","-","5.5","93","1016.2","-","SW","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","7:00 AM","5","-","4","87","1017","-","South","3.7/","-","-","",""
"2011/1/1","7:00 AM","5.3","-","4.1","92","1016.7","-","South","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","8:00 AM","4.3","3.1","3.8","97","1016.6","-","SSW","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","9:00 AM","4.3","-","4.0","98","1016.8","-","SSW","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","10:00 AM","4.5","-","4.1","97","1017.5","-","SSW","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","11:00 AM","4.1","-","3.6","97","1016.1","-","West","1.9/0.5m/s","-","N/A","","Unknown"
"2011/1/1","12:00 PM","5.5","-","3.3","86","1015.5","-","SW","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","1:00 PM","6","-","3","73","1014","-","SSW","3.7/","-","-","",""
"2011/1/1","1:00 PM","6.4","-","3.4","81","1014.3","-","SSW","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","2:00 PM","6.8","-","4.1","83","1013.5","-","SSW","3.7/1.0m/s","-","N/A","","Unknown"
"2011/1/1","3:00 PM","5.9","-","3.7","86","1013.0","-","ENE","1.9/0.5m/s","-","N/A","","Unknown"
"2011/1/1","4:00 PM","6.9","-","4.8","87","1012.4","-","SSE","1.9/0.5m/s","-","N/A","","Unknown"
"2011/1/1","5:00 PM","6.9","5.5","5.2","89","1011.4","-","SW","7.4/2.1m/s","-","1.3","","Unknown"
"2011/1/1","6:00 PM","7.5","6.2","5.8","89","1010.4","-","SW","7.4/2.1m/s","-","N/A","","Unknown"
"2011/1/1","7:00 PM","8","-","6","84","1010","-","SW","5.6/","-","-","",""
"2011/1/1","7:00 PM","7.9","7.2","5.9","87","1010.0","-","SW","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","8:00 PM","7.8","7.1","5.1","83","1009.6","-","SSW","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","9:00 PM","7.7","6.5","5.1","84","1009.4","-","SW","7.4/2.1m/s","-","N/A","","Unknown"
"2011/1/1","10:00 PM","7.4","6.6","4.4","81","1009.3","-","South","5.6/1.5m/s","-","N/A","","Unknown"
"2011/1/1","11:00 PM","7.2","6.4","4.3","82","1009.3","-","SW","5.6/1.5m/s","-","N/A","","Unknown"
